Date,VIX High
2004-01-02,18.68
2004-01-05,18.49
2004-01-06,17.67
2004-01-07,16.75
2004-01-08,15.68
2004-01-09,16.88
2004-01-12,17.46
2004-01-13,18.33
2004-01-14,17.3
2004-01-15,17.31
2004-01-16,15.44
2004-01-20,16.13
2004-01-21,15.63
2004-01-22,14.87
2004-01-23,15.05
2004-01-26,15.78
2004-01-27,15.44
2004-01-28,17.06
2004-01-29,17.66
2004-01-30,17.35
2004-02-02,17.56
2004-02-03,17.78
2004-02-04,18.06
2004-02-05,17.99
2004-02-06,17.71
2004-02-09,16.82
2004-02-10,16.76
2004-02-11,16.16
2004-02-12,15.72
2004-02-13,16.03
2004-02-17,15.96
2004-02-18,15.76
2004-02-19,15.97
2004-02-20,16.55
2004-02-23,16.78
2004-02-24,16.76
2004-02-25,16.05
2004-02-26,15.33
2004-02-27,14.77
2004-03-01,15.05
2004-03-02,14.89
2004-03-03,15.27
2004-03-04,14.5
2004-03-05,14.82
2004-03-08,15.83
2004-03-09,16.74
2004-03-10,18.7
2004-03-11,20.69
2004-03-12,20.08
2004-03-15,21.39
2004-03-16,20.94
2004-03-17,19.55
2004-03-18,19.23
2004-03-19,19.25
2004-03-22,22.67
2004-03-23,21.33
2004-03-24,20.83
2004-03-25,19.58
2004-03-26,18.23
2004-03-29,17.17
2004-03-30,16.8
2004-03-31,16.96
2004-04-01,17.25
2004-04-02,16.55
2004-04-05,16.64
2004-04-06,15.53
2004-04-07,16.36
2004-04-08,16.82
2004-04-12,16.12
2004-04-13,17.98
2004-04-14,17.71
2004-04-15,16.78
2004-04-16,15.69
2004-04-19,16.08
2004-04-20,16.72
2004-04-21,16.94
2004-04-22,15.98
2004-04-23,14.56
2004-04-26,15.22
2004-04-27,15.17
2004-04-28,16.54
2004-04-29,17.27
2004-04-30,17.23
2004-05-03,17.72
2004-05-04,17.13
2004-05-05,16.55
2004-05-06,17.67
2004-05-07,18.17
2004-05-10,20.2
2004-05-11,19.28
2004-05-12,20.41
2004-05-13,18.92
2004-05-14,19.27
2004-05-17,20.45
2004-05-18,19.7
2004-05-19,18.93
2004-05-20,19.25
2004-05-21,18.74
2004-05-24,18.82
2004-05-25,18.42
2004-05-26,16.3
2004-05-27,15.86
2004-05-28,15.65
2004-06-01,16.96
2004-06-02,16.7
2004-06-03,17.04
2004-06-04,16.9
2004-06-07,16.7
2004-06-08,15.88
2004-06-09,15.46
2004-06-10,15.35
2004-06-14,16.36
2004-06-15,15.35
2004-06-16,15.22
2004-06-17,15.58
2004-06-18,15.25
2004-06-21,15.62
2004-06-22,15.64
2004-06-23,14.82
2004-06-24,14.97
2004-06-25,15.29
2004-06-28,16.13
2004-06-29,16.28
2004-06-30,15.73
2004-07-01,15.57
2004-07-02,15.45
2004-07-06,16.75
2004-07-07,16.47
2004-07-08,16.36
2004-07-09,16.03
2004-07-12,15.61
2004-07-13,15.08
2004-07-14,16.59
2004-07-15,14.73
2004-07-16,14.58
2004-07-19,15.83
2004-07-20,15.57
2004-07-21,16.46
2004-07-22,17.1
2004-07-23,16.94
2004-07-26,17.93
2004-07-27,17.34
2004-07-28,17.41
2004-07-29,16.12
2004-07-30,15.89
2004-08-02,16.58
2004-08-03,16.05
2004-08-04,16.65
2004-08-05,18.41
2004-08-06,19.68
2004-08-09,19.97
2004-08-10,18.86
2004-08-11,18.49
2004-08-12,19.3
2004-08-13,19.25
2004-08-16,19.28
